,latency
725,9.680000000000002e-06
726,1.1200000000000015e-05
727,1.0670000000000005e-05
728,1.8359999999999994e-05
729,8.849999999999998e-06
730,9.909999999999992e-06
731,1.736999999999999e-05
732,1.0880000000000004e-05
733,1.8639999999999998e-05
734,9.719999999999995e-06
735,9.200000000000007e-06
736,1.0200000000000004e-05
737,1.3959999999999995e-05
738,1.5480000000000008e-05
739,1.4749999999999979e-05
740,3.4179999999999974e-05
741,9.299999999999996e-06
742,1.3719999999999997e-05
743,1.0709999999999997e-05
744,1.505e-05
745,1.058000000000001e-05
746,1.0670000000000005e-05
747,1.048999999999999e-05
748,1.1060000000000006e-05
749,1.1590000000000003e-05
750,1.582999999999999e-05
751,1.815100000000001e-05
752,1.1239999999999994e-05
753,9.719999999999995e-06
754,1.2240000000000005e-05
755,1.408e-05
756,2.880000000000001e-05
757,1.0019999999999989e-05
758,1.210000000000001e-05
759,1.2089999999999988e-05
760,1.0549999999999999e-05
761,1.7140000000000002e-05
762,1.3009999999999999e-05
763,2.0229999999999988e-05
764,1.2810000000000008e-05
765,1.3409999999999995e-05
766,9.429999999999996e-06
767,2.1500000000000008e-05
768,9.590000000000008e-06
769,1.472999999999999e-05
770,1.3559999999999999e-05
771,1.3489999999999995e-05
772,1.0040000000000006e-05
773,1.1750000000000001e-05
774,9.570000000000005e-06
775,1.8520000000000006e-05
776,9.699999999999992e-06
777,9.960000000000006e-06
778,2.424e-05
779,1.1870000000000007e-05
780,1.3840000000000003e-05
781,1.142999999999999e-05
782,1.0780000000000002e-05
783,9.429999999999996e-06
784,1.040999999999999e-05
785,1.867000000000001e-05
786,1.039e-05
787,1.6380000000000016e-05
788,1.9460000000000007e-05
789,1.0249999999999992e-05
790,1.984e-05
791,1.8309999999999992e-05
792,1.6360000000000013e-05
793,1.7649999999999995e-05
794,1.4349999999999996e-05
795,1.2550000000000007e-05
796,1.346000000000001e-05
797,1.3169999999999998e-05
798,2.2149999999999996e-05
799,1.3719999999999997e-05
800,9.79e-06
801,1.4180000000000003e-05
802,1.8220000000000012e-05
803,1.660000000000001e-05
804,1.1670000000000002e-05
805,1.1720000000000003e-05
806,1.879e-05
807,2.2530000000000003e-05
808,1.0960000000000003e-05
809,2.024999999999999e-05
810,1.6250000000000016e-05
811,1.3660000000000001e-05
812,1.6129999999999996e-05
813,1.5650000000000014e-05
814,1.6859999999999998e-05
815,1.0380000000000006e-05
816,1.7901000000000017e-05
817,1.0230000000000002e-05
818,1.1159999999999995e-05
819,2.392e-05
820,1.0359999999999989e-05
821,1.6800000000000015e-05
822,1.3309999999999993e-05
823,9.999999999999999e-06
824,1.867000000000001e-05
825,1.9549999999999987e-05
826,1.3589999999999997e-05
827,1.0900000000000007e-05
828,1.2550000000000007e-05
829,1.087000000000001e-05
830,1.0079999999999998e-05
831,1.0060000000000009e-05
832,1.0089999999999993e-05
833,9.98999999999999e-06
834,1.081e-05
835,1.3229999999999994e-05
836,2.6179999999999997e-05
837,1.0990000000000002e-05
838,1.6220000000000004e-05
839,1.6850000000000003e-05
840,1.2909999999999997e-05
841,1.9800000000000007e-05
842,1.2069999999999998e-05
843,9.340000000000002e-06
844,1.1629999999999995e-05
845,1.0100000000000002e-05
846,1.1150000000000014e-05
847,1.113000000000001e-05
848,2.246e-05
849,9.570000000000005e-06
850,1.0129999999999986e-05
851,1.4999999999999999e-05
852,9.780000000000005e-06
853,1.1750000000000001e-05
854,1.23e-05
855,1.034e-05
856,1.7320000000000004e-05
857,1.1510000000000003e-05
858,1.1870000000000007e-05
859,9.64000000000001e-06
860,9.14000000000001e-06
861,2.5289999999999997e-05
862,1.196e-05
863,1.115e-05
864,9.37e-06
865,1.7530000000000003e-05
866,1.4059999999999998e-05
867,9.860000000000004e-06
868,1.735e-05
869,1.306e-05
870,1.7419999999999992e-05
871,1.2370000000000005e-05
872,9.680000000000002e-06
873,9.760000000000001e-06
874,1.2729999999999995e-05
875,1.3620000000000009e-05
876,1.0169999999999992e-05
877,1.555e-05
878,1.5020000000000002e-05
879,1.4340000000000002e-05
880,9.339999999999989e-06
881,9.92e-06
882,1.0830000000000003e-05
883,1.6360000000000013e-05
884,1.3660000000000001e-05
885,1.759e-05
886,1.0120000000000005e-05
887,1.2070000000000011e-05
888,1.6380000000000002e-05
889,2.0830000000000002e-05
890,1.7760000000000006e-05
891,1.1499999999999995e-05
892,1.0249999999999992e-05
893,1.7079999999999992e-05
894,1.102e-05
895,1.325000000000001e-05
896,1.0830000000000003e-05
897,1.4399999999999984e-05
898,2.4319999999999984e-05
899,1.1230000000000013e-05
900,1.5689999999999994e-05
901,1.1690000000000005e-05
902,1.1309999999999998e-05
903,1.081e-05
904,9.960000000000006e-06
905,9.549999999999988e-06
906,1.1199999999999988e-05
907,1.0609999999999995e-05
908,9.949999999999998e-06
909,1.0439999999999988e-05
910,1.102e-05
911,1.2889999999999993e-05
912,1.5239999999999996e-05
913,1.0109999999999996e-05
914,1.2720000000000014e-05
915,1.2539999999999999e-05
916,1.3640000000000039e-05
917,1.0150000000000003e-05
918,1.5750000000000003e-05
919,1.5750000000000003e-05
920,9.92e-06
921,1.136e-05
922,1.569999999999999e-05
923,1.1740000000000006e-05
924,1.5931000000000007e-05
925,1.0909999999999989e-05
926,1.4070000000000006e-05
927,1.1170000000000003e-05
928,1.5910000000000002e-05
929,1.600000000000001e-05
930,9.991000000000006e-06
931,9.739999999999998e-06
932,1.0040000000000006e-05
933,9.819999999999997e-06
934,1.0020000000000002e-05
935,1.0140000000000008e-05
936,1.3680000000000005e-05
937,1.574000000000001e-05
938,9.71e-06
939,1.2619999999999998e-05
940,1.3530000000000001e-05
941,2.887999999999998e-05
942,1.5209999999999998e-05
943,1.1590000000000016e-05
944,1.2730000000000009e-05
945,1.4659999999999999e-05
946,1.0589999999999992e-05
947,1.9800000000000007e-05
948,1.0479999999999995e-05
949,1.581e-05
950,9.85999999999999e-06
951,1.6090000000000003e-05
952,9.72999999999999e-06
953,1.2640000000000001e-05
954,9.730000000000003e-06
955,1.898000000000001e-05
956,1.040999999999999e-05
957,1.922999999999999e-05
958,1.919999999999998e-05
959,1.0819999999999995e-05
960,1.0689999999999994e-05
961,1.4540000000000006e-05
962,1.5810000000000013e-05
963,1.3830000000000008e-05
964,1.3489999999999995e-05
965,1.045000000000001e-05
966,9.659999999999999e-06
967,1.3469999999999991e-05
968,1.4040000000000008e-05
969,1.244000000000001e-05
970,1.024000000000001e-05
971,1.1159999999999995e-05
972,1.1419999999999996e-05
973,1.0479999999999995e-05
974,1.3050000000000005e-05
975,9.820000000000011e-06
976,1.9039999999999994e-05
977,9.58e-06
978,1.2199999999999998e-05
979,1.0549999999999999e-05
980,2.8110000000000027e-05
981,1.0350000000000008e-05
982,1.3999999999999988e-05
983,1.0549999999999999e-05
984,2.9899999999999995e-05
985,9.920000000000013e-06
986,1.4059999999999984e-05
987,1.4910000000000005e-05
988,1.0670000000000005e-05
